,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
11814,2024-07-29T18:06:57+02:00,HBLMTEAM7-------------GPB-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,27,POINTS,L,1
11815,2024-07-29T18:06:57+02:00,HBLMTEAM7-------------GPB-000400--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,30,POINTS,W,2
11800,2024-07-29T20:35:13+02:00,HBLMTEAM7-------------GPB-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,22,POINTS,L,1
11801,2024-07-29T20:35:13+02:00,HBLMTEAM7-------------GPB-000500--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,27,POINTS,W,2
6038,2024-07-29T22:43:42+02:00,HBLMTEAM7-------------GPB-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,25,POINTS,L,1
6039,2024-07-29T22:43:42+02:00,HBLMTEAM7-------------GPB-000600--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,35,POINTS,W,2
6051,2024-07-31T10:33:30+02:00,HBLMTEAM7-------------GPB-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---NOR01,Norway,Team,NOR,Norway,26,POINTS,W,1
6052,2024-07-31T10:33:30+02:00,HBLMTEAM7-------------GPB-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,25,POINTS,L,2
4896,2024-07-31T12:38:38+02:00,HBLMTEAM7-------------GPA-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,31,POINTS,W,1
4897,2024-07-31T12:38:38+02:00,HBLMTEAM7-------------GPA-000700--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---GER01,Germany,Team,GER,Germany,26,POINTS,L,2
8160,2024-07-31T15:29:08+02:00,HBLMTEAM7-------------GPA-000800--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ESP01,Spain,Team,ESP,Spain,37,POINTS,W,1
8161,2024-07-31T15:29:08+02:00,HBLMTEAM7-------------GPA-000800--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---JPN01,Japan,Team,JPN,Japan,33,POINTS,L,2
8162,2024-07-31T17:39:37+02:00,HBLMTEAM7-------------GPA-000900--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SLO01,Slovenia,Team,SLO,Slovenia,29,POINTS,W,1
8163,2024-07-31T17:39:37+02:00,HBLMTEAM7-------------GPA-000900--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---SWE01,Sweden,Team,SWE,Sweden,24,POINTS,L,2
9080,2024-07-31T20:39:31+02:00,HBLMTEAM7-------------GPB-000800--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,26,POINTS,T,1
9081,2024-07-31T20:39:31+02:00,HBLMTEAM7-------------GPB-000800--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---EGY01,Egypt,Team,EGY,Egypt,26,POINTS,T,2
9090,2024-07-31T22:40:17+02:00,HBLMTEAM7-------------GPB-000900--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,38,POINTS,W,1
9091,2024-07-31T22:40:17+02:00,HBLMTEAM7-------------GPB-000900--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,27,POINTS,L,2
3901,2024-08-02T10:32:44+02:00,HBLMTEAM7-------------GPB-001000--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---HUN01,Hungary,Team,HUN,Hungary,25,POINTS,L,1
3902,2024-08-02T10:32:44+02:00,HBLMTEAM7-------------GPB-001000--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---DEN01,Denmark,Team,DEN,Denmark,28,POINTS,W,2
3853,2024-08-02T12:34:22+02:00,HBLMTEAM7-------------GPB-001100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---ARG01,Argentina,Team,ARG,Argentina,21,POINTS,L,1
3854,2024-08-02T12:34:22+02:00,HBLMTEAM7-------------GPB-001100--,HBLMTEAM7,Men,Men's Preliminary Round Group B,Preliminary Round Group B,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---FRA01,France,Team,FRA,France,28,POINTS,W,2
6425,2024-08-02T15:39:14+02:00,HBLMTEAM7-------------GPA-001000--,HBLMTEAM7,Men,Men's Preliminary Round Group A,Preliminary Round Group A,FINISHED,M,Handball,HBL,South Paris Arena 6,HBLMTEAM7---CRO01,Croatia,Team,CRO,Croatia,27,POINTS,L,1
