,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
2061,2024-08-02T14:16:43+02:00,VVOMTEAM6-------------GPB-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---BRA01,Brazil,Team,BRA,Brazil,3,POINTS,W,1
2062,2024-08-02T14:16:43+02:00,VVOMTEAM6-------------GPB-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---EGY01,Egypt,Team,EGY,Egypt,0,POINTS,L,2
1230,2024-08-02T19:31:50+02:00,VVOMTEAM6-------------GPA-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---FRA01,France,Team,FRA,France,2,POINTS,L,1
1231,2024-08-02T19:31:50+02:00,VVOMTEAM6-------------GPA-000500--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SLO01,Slovenia,Team,SLO,Slovenia,3,POINTS,W,2
13122,2024-08-02T20:04:41+02:00,VVOMTEAM6-------------GPB-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,1
13123,2024-08-02T20:04:41+02:00,VVOMTEAM6-------------GPB-000100--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---BRA01,Brazil,Team,BRA,Brazil,1,POINTS,L,2
1260,2024-08-02T20:06:20+02:00,VVOMTEAM6-------------GPA-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---FRA01,France,Team,FRA,France,3,POINTS,W,1
1261,2024-08-02T20:06:20+02:00,VVOMTEAM6-------------GPA-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---CAN01,Canada,Team,CAN,Canada,0,POINTS,L,2
10473,2024-08-02T20:07:10+02:00,VVOMTEAM6-------------GPC-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---JPN01,Japan,Team,JPN,Japan,3,POINTS,W,1
10474,2024-08-02T20:07:10+02:00,VVOMTEAM6-------------GPC-000400--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ARG01,Argentina,Team,ARG,Argentina,1,POINTS,L,2
6227,2024-08-02T22:48:26+02:00,VVOMTEAM6-------------GPC-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---JPN01,Japan,Team,JPN,Japan,1,POINTS,L,1
6228,2024-08-02T22:48:26+02:00,VVOMTEAM6-------------GPC-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool C,Preliminary Round - Pool C,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---USA01,United States of America,Team,USA,United States,3,POINTS,W,2
8264,2024-08-03T18:58:40+02:00,VVOMTEAM6-------------GPB-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---POL01,Poland,Team,POL,Poland,1,POINTS,L,1
8265,2024-08-03T18:58:40+02:00,VVOMTEAM6-------------GPB-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---ITA01,Italy,Team,ITA,Italy,3,POINTS,W,2
8906,2024-08-03T23:16:26+02:00,VVOMTEAM6-------------GPA-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---CAN01,Canada,Team,CAN,Canada,2,POINTS,L,1
8907,2024-08-03T23:16:26+02:00,VVOMTEAM6-------------GPA-000600--,VVOMTEAM6,Men,Men's Preliminary Round - Pool A,Preliminary Round - Pool A,FINISHED,M,Volleyball,VVO,South Paris Arena 1,VVOMTEAM6---SRB01,Serbia,Team,SRB,Serbia,3,POINTS,W,2
3034,2024-07-29T14:11:50+02:00,VVOWTEAM6-------------GPB-000200--,VVOWTEAM6,Women,Women's Preliminary Round - Pool B,Preliminary Round - Pool B,FINISHED,W,Volleyball,VVO,South Paris Arena 1,VVOWTEAM6---BRA01,Brazil,Team,BRA,Brazil,3,POINTS,W,1
