,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM
10142,2024-07-27T22:58:27+02:00,BDMMDOUBLES-----------GPD-000100--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
7437,2024-07-28T10:39:11+02:00,BDMMDOUBLES-----------GPA-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,2,POINTS,W,
7438,2024-07-28T10:39:11+02:00,BDMMDOUBLES-----------GPA-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,Team,CAN,Canada,0,POINTS,L,
12340,2024-07-28T11:18:29+02:00,BDMMDOUBLES-----------GPA-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
12341,2024-07-28T11:18:29+02:00,BDMMDOUBLES-----------GPA-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,Team,GBR,Great Britain,1,POINTS,L,
11656,2024-07-28T14:47:51+02:00,BDMMDOUBLES-----------GPB-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,Team,KOR,Korea,2,POINTS,W,
11657,2024-07-28T14:47:51+02:00,BDMMDOUBLES-----------GPB-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,Team,FRA,France,0,POINTS,L,
9985,2024-07-28T17:22:01+02:00,BDMMDOUBLES-----------GPB-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,Team,THA,Thailand,2,POINTS,W,
9986,2024-07-28T17:22:01+02:00,BDMMDOUBLES-----------GPB-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group B,Group Play Stage - Group B,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,Team,CZE,Czechia,0,POINTS,L,
574,2024-07-28T22:23:48+02:00,BDMMDOUBLES-----------GPD-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,2,POINTS,W,
575,2024-07-28T22:23:48+02:00,BDMMDOUBLES-----------GPD-000300--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
6040,2024-07-29T10:47:34+02:00,BDMMDOUBLES-----------GPD-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,1,POINTS,L,
6041,2024-07-29T10:47:34+02:00,BDMMDOUBLES-----------GPD-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
4573,2024-07-29T11:48:04+02:00,BDMMDOUBLES-----------GPC-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,Team,INA,Indonesia,2,POINTS,W,
4574,2024-07-29T11:48:04+02:00,BDMMDOUBLES-----------GPC-000400--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group C,Group Play Stage - Group C,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-FRA02,CORVEE Lucas / LABAR Ronan,Team,FRA,France,0,POINTS,L,
11816,2024-07-29T16:27:34+02:00,BDMMDOUBLES-----------GPD-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,Team,DEN,Denmark,2,POINTS,W,
11817,2024-07-29T16:27:34+02:00,BDMMDOUBLES-----------GPD-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,Team,CHN,China,0,POINTS,L,
6049,2024-07-29T20:09:51+02:00,BDMMDOUBLES-----------GPD-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,Team,JPN,Japan,2,POINTS,W,
6050,2024-07-29T20:09:51+02:00,BDMMDOUBLES-----------GPD-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
7478,2024-07-29T21:11:24+02:00,BDMMDOUBLES-----------GPA-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,Team,GBR,Great Britain,2,POINTS,W,
7479,2024-07-29T21:11:24+02:00,BDMMDOUBLES-----------GPA-000500--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,Team,CAN,Canada,0,POINTS,L,
2998,2024-07-29T23:12:20+02:00,BDMMDOUBLES-----------GPA-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,Team,CHN,China,2,POINTS,W,
2999,2024-07-29T23:12:20+02:00,BDMMDOUBLES-----------GPA-000600--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group A,Group Play Stage - Group A,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,Team,MAS,Malaysia,0,POINTS,L,
11798,2024-07-30T11:42:12+02:00,BDMMDOUBLES-----------GPD-000700--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,Team,TPE,Chinese Taipei,2,POINTS,W,
11799,2024-07-30T11:42:12+02:00,BDMMDOUBLES-----------GPD-000700--,BDMMDOUBLES,Men's Doubles,Men's Doubles Group Play Stage - Group D,Group Play Stage - Group D,FINISHED,M,Badminton,BDM,La Chapelle Arena,BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,Team,USA,United States,0,POINTS,L,
