,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
6990,2024-07-24T23:51:08+02:00,RU7MTEAM7-------------GPA-000300--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---JPN01,Japan,Team,JPN,Japan,5,POINTS,L,2
12154,2024-07-24T23:51:08+02:00,RU7MTEAM7-------------GPA-000400--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,17,POINTS,W,1
12155,2024-07-24T23:51:08+02:00,RU7MTEAM7-------------GPA-000400--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,5,POINTS,L,2
4874,2024-07-24T23:51:09+02:00,RU7MTEAM7-------------GPC-000300--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,19,POINTS,W,1
4875,2024-07-24T23:51:09+02:00,RU7MTEAM7-------------GPC-000300--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---URU01,Uruguay,Team,URU,Uruguay,12,POINTS,L,2
9575,2024-07-24T23:51:10+02:00,RU7MTEAM7-------------GPB-000300--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,21,POINTS,W,1
9576,2024-07-24T23:51:10+02:00,RU7MTEAM7-------------GPB-000300--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---KEN01,Kenya,Team,KEN,Kenya,7,POINTS,L,2
11096,2024-07-24T23:51:10+02:00,RU7MTEAM7-------------GPB-000400--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,28,POINTS,W,1
11097,2024-07-24T23:51:10+02:00,RU7MTEAM7-------------GPB-000400--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---SAM01,Samoa,Team,SAM,Samoa,12,POINTS,L,2
12164,2024-07-25T16:21:22+02:00,RU7MTEAM7-------------GPA-000500--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,49,POINTS,W,1
12165,2024-07-25T16:21:22+02:00,RU7MTEAM7-------------GPA-000500--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---JPN01,Japan,Team,JPN,Japan,5,POINTS,L,2
11100,2024-07-25T17:03:40+02:00,RU7MTEAM7-------------GPB-000500--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---SAM01,Samoa,Team,SAM,Samoa,26,POINTS,W,1
11101,2024-07-25T17:03:40+02:00,RU7MTEAM7-------------GPB-000500--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---KEN01,Kenya,Team,KEN,Kenya,0,POINTS,L,2
5195,2024-07-25T17:04:36+02:00,RU7MTEAM7-------------GPB-000600--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,14,POINTS,L,1
5196,2024-07-25T17:04:36+02:00,RU7MTEAM7-------------GPB-000600--,RU7MTEAM7,Men,Men's Pool B,Pool B,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,22,POINTS,W,2
7831,2024-07-25T17:05:50+02:00,RU7MTEAM7-------------GPC-000600--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,19,POINTS,W,1
7832,2024-07-25T17:05:50+02:00,RU7MTEAM7-------------GPC-000600--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,12,POINTS,L,2
3128,2024-07-25T17:20:34+02:00,RU7MTEAM7-------------GPC-000500--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---USA01,United States of America,Team,USA,United States,33,POINTS,W,1
3129,2024-07-25T17:20:34+02:00,RU7MTEAM7-------------GPC-000500--,RU7MTEAM7,Men,Men's Pool C,Pool C,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---URU01,Uruguay,Team,URU,Uruguay,17,POINTS,L,2
10555,2024-07-25T20:26:16+02:00,RU7MTEAM7-------------SF9-000100--,RU7MTEAM7,Men,Men's Placing 9-12,Placing 9-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---SAM01,Samoa,Team,SAM,Samoa,42,POINTS,W,1
10556,2024-07-25T20:26:16+02:00,RU7MTEAM7-------------SF9-000100--,RU7MTEAM7,Men,Men's Placing 9-12,Placing 9-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---JPN01,Japan,Team,JPN,Japan,7,POINTS,L,2
6293,2024-07-25T21:02:12+02:00,RU7MTEAM7-------------SF9-000200--,RU7MTEAM7,Men,Men's Placing 9-12,Placing 9-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---URU01,Uruguay,Team,URU,Uruguay,14,POINTS,L,1
6294,2024-07-25T21:02:12+02:00,RU7MTEAM7-------------SF9-000200--,RU7MTEAM7,Men,Men's Placing 9-12,Placing 9-12,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---KEN01,Kenya,Team,KEN,Kenya,19,POINTS,W,2
4394,2024-07-25T21:27:41+02:00,RU7MTEAM7-------------QFNL000100--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,7,POINTS,L,1
4395,2024-07-25T21:27:41+02:00,RU7MTEAM7-------------QFNL000100--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---RSA01,South Africa,Team,RSA,South Africa,14,POINTS,W,2
12079,2024-07-25T22:17:26+02:00,RU7MTEAM7-------------QFNL000200--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---ARG01,Argentina,Team,ARG,Argentina,14,POINTS,L,1
12080,2024-07-25T22:17:26+02:00,RU7MTEAM7-------------QFNL000200--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FRA01,France,Team,FRA,France,26,POINTS,W,2
12075,2024-07-25T22:53:40+02:00,RU7MTEAM7-------------QFNL000300--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---FIJ01,Fiji,Team,FIJ,Fiji,19,POINTS,W,1
12076,2024-07-25T22:53:40+02:00,RU7MTEAM7-------------QFNL000300--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---IRL01,Ireland,Team,IRL,Ireland,15,POINTS,L,2
6951,2024-07-25T22:55:05+02:00,RU7MTEAM7-------------QFNL000400--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---AUS01,Australia,Team,AUS,Australia,18,POINTS,W,1
6952,2024-07-25T22:55:05+02:00,RU7MTEAM7-------------QFNL000400--,RU7MTEAM7,Men,Men's Quarter-final,Quarter-final,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---USA01,United States of America,Team,USA,United States,0,POINTS,L,2
4362,2024-07-25T23:22:12+02:00,RU7MTEAM7-------------GPA-000600--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---NZL01,New Zealand,Team,NZL,New Zealand,14,POINTS,W,1
4363,2024-07-25T23:22:12+02:00,RU7MTEAM7-------------GPA-000600--,RU7MTEAM7,Men,Men's Pool A,Pool A,FINISHED,M,Rugby Sevens,RU7,Stade de France,RU7MTEAM7---IRL01,Ireland,Team,IRL,Ireland,12,POINTS,L,2
