,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
12177,2024-07-30T12:55:46+02:00,BKBMTEAM5-------------GPA-000300--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GRE01,Greece,Team,GRE,Greece,77,POINTS,L,2
7278,2024-07-30T15:16:04+02:00,BKBMTEAM5-------------GPA-000400--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---CAN01,Canada,Team,CAN,Canada,93,POINTS,W,1
7279,2024-07-30T15:16:04+02:00,BKBMTEAM5-------------GPA-000400--,BKBMTEAM5,Men,Men's Group Phase - Group A,Group Phase - Group A,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---AUS01,Australia,Team,AUS,Australia,83,POINTS,L,2
11462,2024-07-30T19:21:11+02:00,BKBMTEAM5-------------GPB-000300--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---JPN01,Japan,Team,JPN,Japan,90,POINTS,L,1
11463,2024-07-30T19:21:11+02:00,BKBMTEAM5-------------GPB-000300--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---FRA01,France,Team,FRA,France,94,POINTS,W,2
9711,2024-07-30T23:02:45+02:00,BKBMTEAM5-------------GPB-000400--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---BRA01,Brazil,Team,BRA,Brazil,73,POINTS,L,1
9712,2024-07-30T23:02:45+02:00,BKBMTEAM5-------------GPB-000400--,BKBMTEAM5,Men,Men's Group Phase - Group B,Group Phase - Group B,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---GER01,Germany,Team,GER,Germany,86,POINTS,W,2
2809,2024-07-31T19:09:20+02:00,BKBMTEAM5-------------GPC-000300--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---PUR01,Puerto Rico,Team,PUR,Puerto Rico,66,POINTS,L,1
2810,2024-07-31T19:09:20+02:00,BKBMTEAM5-------------GPC-000300--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---SRB01,Serbia,Team,SRB,Serbia,107,POINTS,W,2
4782,2024-07-31T22:58:01+02:00,BKBMTEAM5-------------GPC-000400--,BKBMTEAM5,Men,Men's Group Phase - Group C,Group Phase - Group C,FINISHED,M,Basketball,BKB,Pierre Mauroy Stadium,BKBMTEAM5---USA01,United States of America,Team,USA,United States,103,POINTS,W,1
