,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
3066,2024-07-27T16:35:46+02:00,SRFWSHORTBRD----------PREL000800--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 8,Round 1 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1943210,MOORE Carissa,Person,USA,United States,1.0,16.50,POINTS,,Q3,7
3067,2024-07-27T16:35:46+02:00,SRFWSHORTBRD----------PREL000800--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 8,Round 1 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1913496,MATSUDA Shino,Person,JPN,Japan,2.0,11.16,POINTS,,Q2,18
3068,2024-07-27T16:35:46+02:00,SRFWSHORTBRD----------PREL000800--,SRFWSHORTBRD,Women,Women's Round 1 - Heat 8,Round 1 - Heat 8,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1916728,BONVALOT Teresa,Person,POR,Portugal,3.0,10.34,POINTS,,Q2,10
2346,2024-07-28T07:33:19+02:00,SRFWSHORTBRD----------REP-000100--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 1,Round 2 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1901532,YANG Siqi,Person,CHN,China,1.0,8.67,POINTS,W,,14
2347,2024-07-28T07:33:19+02:00,SRFWSHORTBRD----------REP-000100--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 1,Round 2 - Heat 1,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1560138,AGUIRRE Sol,Person,PER,Peru,2.0,4.50,POINTS,L,,4
8388,2024-07-28T08:10:34+02:00,SRFWSHORTBRD----------REP-000200--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 2,Round 2 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1963658,BAUM Sarah,Person,RSA,South Africa,1.0,10.50,POINTS,W,,17
8389,2024-07-28T08:10:34+02:00,SRFWSHORTBRD----------REP-000200--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 2,Round 2 - Heat 2,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1556614,KEMP Camilla,Person,GER,Germany,2.0,4.94,POINTS,L,,11
8396,2024-07-28T08:46:12+02:00,SRFWSHORTBRD----------REP-000300--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 3,Round 2 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1913496,MATSUDA Shino,Person,JPN,Japan,1.0,9.77,POINTS,W,,18
8397,2024-07-28T08:46:12+02:00,SRFWSHORTBRD----------REP-000300--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 3,Round 2 - Heat 3,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1916728,BONVALOT Teresa,Person,POR,Portugal,2.0,6.84,POINTS,L,,10
13261,2024-07-28T09:22:00+02:00,SRFWSHORTBRD----------REP-000400--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 4,Round 2 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1567359,DEFAY Johanne,Person,FRA,France,1.0,11.83,POINTS,W,,2
13262,2024-07-28T09:22:00+02:00,SRFWSHORTBRD----------REP-000400--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 4,Round 2 - Heat 4,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1946132,PICKLUM Molly,Person,AUS,Australia,2.0,7.43,POINTS,L,,16
13253,2024-07-28T09:57:16+02:00,SRFWSHORTBRD----------REP-000500--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 5,Round 2 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955783,WESTON-WEBB Tatiana,Person,BRA,Brazil,1.0,9.50,POINTS,W,,1
13254,2024-07-28T09:57:16+02:00,SRFWSHORTBRD----------REP-000500--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 5,Round 2 - Heat 5,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1950037,RESANO Candelaria,Person,NCA,Nicaragua,2.0,3.30,POINTS,L,,23
4082,2024-07-28T10:34:53+02:00,SRFWSHORTBRD----------REP-000600--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 6,Round 2 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1916729,HOPKINS Yolanda,Person,POR,Portugal,1.0,4.67,POINTS,W,,8
4083,2024-07-28T10:34:53+02:00,SRFWSHORTBRD----------REP-000600--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 6,Round 2 - Heat 6,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1919017,VETTE Saffi,Person,NZL,New Zealand,2.0,1.27,POINTS,L,,22
4104,2024-07-28T11:09:42+02:00,SRFWSHORTBRD----------REP-000700--,SRFWSHORTBRD,Women,Women's Round 2 - Heat 7,Round 2 - Heat 7,FINISHED,W,Surfing,SRF,"Teahupo'o, Tahiti",1955782,HINCKEL Taina,Person,BRA,Brazil,1.0,7.10,POINTS,W,,6
