,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_WLT,qualification_mark,bib
12627,2024-07-28T13:44:10+02:00,SRFMSHORTBRD----------REP-000300--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 3,Round 2 - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1963660,SMITH Jordy,Person,RSA,South Africa,1.0,9.50,POINTS,W,,17
12628,2024-07-28T13:44:10+02:00,SRFMSHORTBRD----------REP-000300--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 3,Round 2 - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1909733,WAIDA Rio,Person,INA,Indonesia,2.0,5.40,POINTS,L,,7
7839,2024-07-28T14:21:35+02:00,SRFMSHORTBRD----------REP-000400--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 4,Round 2 - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,14.03,POINTS,W,,3
7840,2024-07-28T14:21:35+02:00,SRFMSHORTBRD----------REP-000400--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 4,Round 2 - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1963661,McGILLIVRAY Matthew,Person,RSA,South Africa,2.0,10.67,POINTS,L,,21
7849,2024-07-28T14:59:03+02:00,SRFMSHORTBRD----------REP-000500--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 5,Round 2 - Heat 5,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1551552,BOUKHIAM Ramzi,Person,MAR,Morocco,1.0,14.60,POINTS,W,,2
7850,2024-07-28T14:59:03+02:00,SRFMSHORTBRD----------REP-000500--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 5,Round 2 - Heat 5,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1571398,PEREZ Bryan,Person,ESA,El Salvador,2.0,12.60,POINTS,L,,24
3163,2024-07-28T15:33:06+02:00,SRFMSHORTBRD----------REP-000600--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 6,Round 2 - Heat 6,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1535368,CLELAND QUINONEZ Alan,Person,MEX,Mexico,1.0,15.17,POINTS,W,,19
3164,2024-07-28T15:33:06+02:00,SRFMSHORTBRD----------REP-000600--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 6,Round 2 - Heat 6,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1957829,CRIERE Andy,Person,ESP,Spain,2.0,4.43,POINTS,L,,6
3139,2024-07-28T16:17:37+02:00,SRFMSHORTBRD----------REP-000700--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 7,Round 2 - Heat 7,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1946129,ROBINSON Jack,Person,AUS,Australia,1.0,16.87,POINTS,W,,13
3140,2024-07-28T16:17:37+02:00,SRFMSHORTBRD----------REP-000700--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 7,Round 2 - Heat 7,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1560071,MESINAS Lucca,Person,PER,Peru,2.0,10.83,POINTS,L,,14
13193,2024-07-28T16:53:15+02:00,SRFMSHORTBRD----------REP-000800--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 8,Round 2 - Heat 8,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955777,TOLEDO Filipe,Person,BRA,Brazil,1.0,17.00,POINTS,W,,12
13194,2024-07-28T16:53:15+02:00,SRFMSHORTBRD----------REP-000800--,SRFMSHORTBRD,Men,Men's Round 2 - Heat 8,Round 2 - Heat 8,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1919015,STAIRMAND Billy,Person,NZL,New Zealand,2.0,14.00,POINTS,L,,15
8156,2024-07-29T07:33:29+02:00,SRFMSHORTBRD----------8FNL000100--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 1,Round 3 - Heat 1,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1559994,CORREA Alonso,Person,PER,Peru,1.0,15.00,POINTS,W,,5
8157,2024-07-29T07:33:29+02:00,SRFMSHORTBRD----------8FNL000100--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 1,Round 3 - Heat 1,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1963660,SMITH Jordy,Person,RSA,South Africa,2.0,12.20,POINTS,L,,17
2033,2024-07-29T08:09:21+02:00,SRFMSHORTBRD----------8FNL000200--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 2,Round 3 - Heat 2,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1913493,INABA Reo,Person,JPN,Japan,1.0,6.00,POINTS,W,,18
2034,2024-07-29T08:09:21+02:00,SRFMSHORTBRD----------8FNL000200--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 2,Round 3 - Heat 2,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955777,TOLEDO Filipe,Person,BRA,Brazil,2.0,2.46,POINTS,L,,12
2045,2024-07-29T08:45:17+02:00,SRFMSHORTBRD----------8FNL000300--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 3,Round 3 - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1567361,VAAST Kauli,Person,FRA,France,1.0,15.10,POINTS,W,,3
2046,2024-07-29T08:45:17+02:00,SRFMSHORTBRD----------8FNL000300--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 3,Round 3 - Heat 3,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1943201,COLAPINTO Griffin,Person,USA,United States,2.0,13.83,POINTS,L,,22
3954,2024-07-29T09:21:33+02:00,SRFMSHORTBRD----------8FNL000400--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 4,Round 3 - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1567362,DURU Joan,Person,FRA,France,1.0,18.13,POINTS,W,,4
3955,2024-07-29T09:21:33+02:00,SRFMSHORTBRD----------8FNL000400--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 4,Round 3 - Heat 4,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1535368,CLELAND QUINONEZ Alan,Person,MEX,Mexico,2.0,15.17,POINTS,L,,19
3940,2024-07-29T09:57:19+02:00,SRFMSHORTBRD----------8FNL000500--,SRFMSHORTBRD,Men,Men's Round 3 - Heat 5,Round 3 - Heat 5,FINISHED,M,Surfing,SRF,"Teahupo'o, Tahiti",1955778,MEDINA Gabriel,Person,BRA,Brazil,1.0,17.40,POINTS,W,,1
