,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order
4912,2024-07-29T11:39:42+02:00,ROWWSCULL4------------REP-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--AUS01,Australia,Team,AUS,Australia,3.0,6:32.65,TIME,,+5.83,FB,5
4913,2024-07-29T11:39:42+02:00,ROWWSCULL4------------REP-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--ROU01,Romania,Team,ROU,Romania,4.0,6:33.84,TIME,,+7.02,FB,4
4914,2024-07-29T11:39:42+02:00,ROWWSCULL4------------REP-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--USA01,United States of America,Team,USA,United States,5.0,6:34.04,TIME,,+7.22,FB,1
8069,2024-07-31T12:22:04+02:00,ROWWSCULL4------------FNL-000200--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--ROU01,Romania,Team,ROU,Romania,1.0,6:29.64,TIME,,,,1
8070,2024-07-31T12:22:04+02:00,ROWWSCULL4------------FNL-000200--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--AUS01,Australia,Team,AUS,Australia,2.0,6:30.85,TIME,,+1.21,,2
8071,2024-07-31T12:22:04+02:00,ROWWSCULL4------------FNL-000200--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final B,Final B,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--USA01,United States of America,Team,USA,United States,3.0,6:31.71,TIME,,+2.07,,3
1865,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--GBR01,Great Britain,Team,GBR,Great Britain,1.0,6:16.31,TIME,,,,4
1866,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--NED01,Netherlands,Team,NED,Netherlands,2.0,6:16.46,TIME,,+0.15,,3
1867,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--GER01,Germany,Team,GER,Germany,3.0,6:19.70,TIME,,+3.39,,5
1868,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--SUI01,Switzerland,Team,SUI,Switzerland,4.0,6:20.12,TIME,,+3.81,,6
1869,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--UKR01,Ukraine,Team,UKR,Ukraine,5.0,6:23.05,TIME,,+6.74,,2
1870,2024-07-31T12:46:22+02:00,ROWWSCULL4------------FNL-000100--,ROWWSCULL4,Women's Quadruple Sculls,Women's Quadruple Sculls Final A,Final A,FINISHED,W,Rowing,ROW,Nautical St - Flat water,ROWWSCULL4--CHN01,People's Republic of China,Team,CHN,China,6.0,6:27.08,TIME,,+10.77,,1
6582,2024-07-27T10:46:04+02:00,ROWWSCULL1------------HEAT000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 3,Heat 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1927027,TWIGG Emma,Person,NZL,New Zealand,1.0,7:34.97,TIME,,,Q,3
6583,2024-07-27T10:46:04+02:00,ROWWSCULL1------------HEAT000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 3,Heat 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1538627,PRAKATEN Anna,Person,UZB,Uzbekistan,2.0,7:37.80,TIME,,+2.83,Q,4
6584,2024-07-27T10:46:04+02:00,ROWWSCULL1------------HEAT000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 3,Heat 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1535252,LECHUGA ALANIS Kenia,Person,MEX,Mexico,3.0,7:46.11,TIME,,+11.14,Q,2
6585,2024-07-27T10:46:04+02:00,ROWWSCULL1------------HEAT000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 3,Heat 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1540998,ALONSO ALDERETE Alejandra,Person,PAR,Paraguay,4.0,7:52.44,TIME,,+17.47,R,1
6586,2024-07-27T10:46:04+02:00,ROWWSCULL1------------HEAT000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 3,Heat 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893521,COBAS GARCIA Yariulvis,Person,CUB,Cuba,5.0,8:11.13,TIME,,+36.16,R,5
1541,2024-07-27T10:58:12+02:00,ROWWSCULL1------------HEAT000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 4,Heat 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1941956,SENKUTE Viktorija,Person,LTU,Lithuania,1.0,7:30.01,TIME,,,Q,2
1542,2024-07-27T10:58:12+02:00,ROWWSCULL1------------HEAT000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 4,Heat 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1964500,KLIMOVICH Tatsiana,Person,AIN,AIN,2.0,7:34.31,TIME,,+4.30,Q,5
1543,2024-07-27T10:58:12+02:00,ROWWSCULL1------------HEAT000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 4,Heat 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1954925,CUNHA TAVARES CARDOSO Beatriz,Person,BRA,Brazil,3.0,7:49.66,TIME,,+19.65,Q,3
1544,2024-07-27T10:58:12+02:00,ROWWSCULL1------------HEAT000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 4,Heat 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1566002,OZBAY Elis,Person,TUR,Türkiye,4.0,7:57.06,TIME,,+27.05,R,4
1545,2024-07-27T10:58:12+02:00,ROWWSCULL1------------HEAT000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 4,Heat 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1935611,SANGUINETI Adriana,Person,PER,Peru,5.0,8:03.87,TIME,,+33.86,R,1
1558,2024-07-27T11:10:12+02:00,ROWWSCULL1------------HEAT000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 5,Heat 5,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1906519,FOESTER Alexandra,Person,GER,Germany,1.0,7:36.35,TIME,,,Q,3
1559,2024-07-27T11:10:12+02:00,ROWWSCULL1------------HEAT000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 5,Heat 5,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1565037,ANGELOVA Desislava,Person,BUL,Bulgaria,2.0,7:42.73,TIME,,+6.38,Q,1
1560,2024-07-27T11:10:12+02:00,ROWWSCULL1------------HEAT000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 5,Heat 5,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928878,DYMCHENKO Diana,Person,AZE,Azerbaijan,3.0,7:52.53,TIME,,+16.18,Q,5
1561,2024-07-27T11:10:12+02:00,ROWWSCULL1------------HEAT000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 5,Heat 5,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1568362,PHAM Thi Hue,Person,VIE,Vietnam,4.0,8:03.84,TIME,,+27.49,R,2
1562,2024-07-27T11:10:12+02:00,ROWWSCULL1------------HEAT000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Heat 5,Heat 5,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1926317,BINTE MOHAMED RAFAEE Saiyidah Aisy.,Person,SGP,Singapore,5.0,8:17.04,TIME,,+40.69,R,4
305,2024-07-28T09:10:28+02:00,ROWWSCULL1------------REP-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976002,DELGACO Joanie,Person,PHI,Philippines,1.0,7:55.00,TIME,,,Q,3
306,2024-07-28T09:10:28+02:00,ROWWSCULL1------------REP-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1568362,PHAM Thi Hue,Person,VIE,Vietnam,2.0,8:00.97,TIME,,+5.97,Q,4
307,2024-07-28T09:10:28+02:00,ROWWSCULL1------------REP-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893521,COBAS GARCIA Yariulvis,Person,CUB,Cuba,3.0,8:10.64,TIME,,+15.64,SE/F,2
308,2024-07-28T09:10:28+02:00,ROWWSCULL1------------REP-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1949989,GONZALEZ JARQUIN Evidelia,Person,NCA,Nicaragua,4.0,8:26.23,TIME,,+31.23,SE/F,1
309,2024-07-28T09:10:28+02:00,ROWWSCULL1------------REP-000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 1,Repechage 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1966045,KOMLANVI Akoko,Person,TOG,Togo,5.0,8:43.11,TIME,,+48.11,SE/F,5
9836,2024-07-28T09:35:02+02:00,ROWWSCULL1------------REP-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 3,Repechage 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1540998,ALONSO ALDERETE Alejandra,Person,PAR,Paraguay,1.0,7:57.14,TIME,,,Q,2
9837,2024-07-28T09:35:02+02:00,ROWWSCULL1------------REP-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 3,Repechage 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1935611,SANGUINETI Adriana,Person,PER,Peru,2.0,8:07.05,TIME,,+9.91,Q,4
9838,2024-07-28T09:35:02+02:00,ROWWSCULL1------------REP-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 3,Repechage 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1570568,NOBLE Kathleen,Person,UGA,Uganda,3.0,8:15.10,TIME,,+17.96,SE/F,1
9839,2024-07-28T09:35:02+02:00,ROWWSCULL1------------REP-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 3,Repechage 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928547,ALFAQAAN Soaad,Person,KUW,Kuwait,4.0,8:28.89,TIME,,+31.75,SE/F,3
9840,2024-07-28T09:35:02+02:00,ROWWSCULL1------------REP-000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 3,Repechage 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1548852,EL ALLAOUI Majdouline,Person,MAR,Morocco,5.0,8:42.07,TIME,,+44.93,SE/F,5
9845,2024-07-28T09:41:53+02:00,ROWWSCULL1------------REP-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 2,Repechage 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1537375,MOJALLALTOPRAGHGHALE Fatemeh,Person,IRI,IR Iran,1.0,7:56.48,TIME,,,Q,2
9846,2024-07-28T09:41:53+02:00,ROWWSCULL1------------REP-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 2,Repechage 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1566002,OZBAY Elis,Person,TUR,Türkiye,2.0,8:00.00,TIME,,+3.52,Q,3
9847,2024-07-28T09:41:53+02:00,ROWWSCULL1------------REP-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 2,Repechage 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1926317,BINTE MOHAMED RAFAEE Saiyidah Aisy.,Person,SGP,Singapore,3.0,8:23.03,TIME,,+26.55,SE/F,1
9848,2024-07-28T09:41:53+02:00,ROWWSCULL1------------REP-000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Repechage 2,Repechage 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976752,BENCHADLI Nihed,Person,ALG,Algeria,4.0,,IRM_RANK,BUW,,SE/F,4
8988,2024-07-29T10:05:17+02:00,ROWWSCULL1------------SFNL000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 1,Semifinal E/F 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893521,COBAS GARCIA Yariulvis,Person,CUB,Cuba,1.0,8:36.16,TIME,,,FE,2
8989,2024-07-29T10:05:17+02:00,ROWWSCULL1------------SFNL000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 1,Semifinal E/F 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1926317,BINTE MOHAMED RAFAEE Saiyidah Aisy.,Person,SGP,Singapore,2.0,8:47.41,TIME,,+11.25,FE,3
8990,2024-07-29T10:05:17+02:00,ROWWSCULL1------------SFNL000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 1,Semifinal E/F 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928547,ALFAQAAN Soaad,Person,KUW,Kuwait,3.0,9:01.78,TIME,,+25.62,FE,1
8991,2024-07-29T10:05:17+02:00,ROWWSCULL1------------SFNL000500--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 1,Semifinal E/F 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1966045,KOMLANVI Akoko,Person,TOG,Togo,4.0,9:16.28,TIME,,+40.12,FF,4
1170,2024-07-29T10:16:28+02:00,ROWWSCULL1------------SFNL000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 2,Semifinal E/F 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976752,BENCHADLI Nihed,Person,ALG,Algeria,1.0,8:34.67,TIME,,,FE,1
1171,2024-07-29T10:16:28+02:00,ROWWSCULL1------------SFNL000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 2,Semifinal E/F 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1570568,NOBLE Kathleen,Person,UGA,Uganda,2.0,8:38.70,TIME,,+4.03,FE,2
1172,2024-07-29T10:16:28+02:00,ROWWSCULL1------------SFNL000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 2,Semifinal E/F 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1949989,GONZALEZ JARQUIN Evidelia,Person,NCA,Nicaragua,3.0,8:43.78,TIME,,+9.11,FE,3
1173,2024-07-29T10:16:28+02:00,ROWWSCULL1------------SFNL000600--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal E/F 2,Semifinal E/F 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1548852,EL ALLAOUI Majdouline,Person,MAR,Morocco,4.0,8:49.70,TIME,,+15.03,FF,4
9589,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1945694,RIGNEY Tara,Person,AUS,Australia,1.0,7:30.57,TIME,,,SA/B,4
9590,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1944710,KOHLER Kara,Person,USA,United States,2.0,7:34.96,TIME,,+4.39,SA/B,3
9591,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1565037,ANGELOVA Desislava,Person,BUL,Bulgaria,3.0,7:41.25,TIME,,+10.68,SA/B,5
9592,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1954925,CUNHA TAVARES CARDOSO Beatriz,Person,BRA,Brazil,4.0,7:47.29,TIME,,+16.72,SC/D,2
9593,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1935611,SANGUINETI Adriana,Person,PER,Peru,5.0,7:57.84,TIME,,+27.27,SC/D,1
9594,2024-07-30T09:39:35+02:00,ROWWSCULL1------------QFNL000100--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 1,Quarterfinal 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1537375,MOJALLALTOPRAGHGHALE Fatemeh,Person,IRI,IR Iran,6.0,8:00.37,TIME,,+29.80,SC/D,6
105,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1965558,FLORIJN Karolien,Person,NED,Netherlands,1.0,7:29.07,TIME,,,SA/B,3
106,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1906519,FOESTER Alexandra,Person,GER,Germany,2.0,7:30.98,TIME,,+1.91,SA/B,4
107,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1964500,KLIMOVICH Tatsiana,Person,AIN,AIN,3.0,7:34.30,TIME,,+5.23,SA/B,5
108,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1540998,ALONSO ALDERETE Alejandra,Person,PAR,Paraguay,4.0,7:47.40,TIME,,+18.33,SC/D,6
109,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1535252,LECHUGA ALANIS Kenia,Person,MEX,Mexico,5.0,7:50.35,TIME,,+21.28,SC/D,2
110,2024-07-30T09:49:17+02:00,ROWWSCULL1------------QFNL000200--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 2,Quarterfinal 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1568362,PHAM Thi Hue,Person,VIE,Vietnam,6.0,7:56.96,TIME,,+27.89,SC/D,1
113,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1927027,TWIGG Emma,Person,NZL,New Zealand,1.0,7:26.89,TIME,,,SA/B,3
114,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1977658,JANZEN Aurelia-Maxima Katharina,Person,SUI,Switzerland,2.0,7:31.12,TIME,,+4.23,SA/B,2
115,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1879804,DIAZ RIVAS Virginia,Person,ESP,Spain,3.0,7:34.01,TIME,,+7.12,SA/B,4
116,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928878,DYMCHENKO Diana,Person,AZE,Azerbaijan,4.0,7:53.76,TIME,,+26.87,SC/D,1
117,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1956490,ARSIC Jovana,Person,SRB,Serbia,5.0,7:56.18,TIME,,+29.29,SC/D,5
118,2024-07-30T09:59:17+02:00,ROWWSCULL1------------QFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 3,Quarterfinal 3,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976002,DELGACO Joanie,Person,PHI,Philippines,6.0,7:58.30,TIME,,+31.41,SC/D,6
5141,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1941956,SENKUTE Viktorija,Person,LTU,Lithuania,1.0,7:33.35,TIME,,,SA/B,3
5142,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1538627,PRAKATEN Anna,Person,UZB,Uzbekistan,2.0,7:35.91,TIME,,+2.56,SA/B,4
5143,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1558203,LOBNIG Magdalena,Person,AUT,Austria,3.0,7:40.07,TIME,,+6.72,SA/B,2
5144,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893544,BADENHORST Paige,Person,RSA,South Africa,4.0,7:44.03,TIME,,+10.68,SC/D,5
5145,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1981475,KOSTANJSEK Nina,Person,SLO,Slovenia,5.0,7:56.31,TIME,,+22.96,SC/D,1
5146,2024-07-30T10:09:24+02:00,ROWWSCULL1------------QFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Quarterfinal 4,Quarterfinal 4,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1566002,OZBAY Elis,Person,TUR,Türkiye,6.0,7:56.51,TIME,,+23.16,SC/D,6
10806,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1956490,ARSIC Jovana,Person,SRB,Serbia,1.0,7:44.60,TIME,,,FC,2
10807,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1981475,KOSTANJSEK Nina,Person,SLO,Slovenia,2.0,7:48.86,TIME,,+4.26,FC,5
10808,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1954925,CUNHA TAVARES CARDOSO Beatriz,Person,BRA,Brazil,3.0,7:49.96,TIME,,+5.36,FC,3
10809,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1540998,ALONSO ALDERETE Alejandra,Person,PAR,Paraguay,4.0,7:56.50,TIME,,+11.90,FD,4
10810,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1976002,DELGACO Joanie,Person,PHI,Philippines,5.0,8:00.18,TIME,,+15.58,FD,1
10811,2024-07-31T10:24:15+02:00,ROWWSCULL1------------SFNL000300--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 1,Semifinal C/D 1,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1537375,MOJALLALTOPRAGHGHALE Fatemeh,Person,IRI,IR Iran,6.0,8:06.23,TIME,,+21.63,FD,6
8998,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1893544,BADENHORST Paige,Person,RSA,South Africa,1.0,7:55.91,TIME,,,FC,3
8999,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1535252,LECHUGA ALANIS Kenia,Person,MEX,Mexico,2.0,7:58.00,TIME,,+2.09,FC,5
9000,2024-07-31T10:34:01+02:00,ROWWSCULL1------------SFNL000400--,ROWWSCULL1,Women's Single Sculls,Women's Single Sculls Semifinal C/D 2,Semifinal C/D 2,FINISHED,W,Rowing,ROW,Nautical St - Flat water,1928878,DYMCHENKO Diana,Person,AZE,Azerbaijan,3.0,7:59.23,TIME,,+3.32,FC,4
