,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,start_order
1859,2024-08-01T10:28:44+02:00,BK3MTEAM3-------------GPA-000900--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,19,POINTS,L,1
1860,2024-08-01T10:28:44+02:00,BK3MTEAM3-------------GPA-000900--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,21,POINTS,W,2
10572,2024-08-01T10:50:13+02:00,BK3MTEAM3-------------GPA-001000--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,8,POINTS,L,1
10573,2024-08-01T10:50:13+02:00,BK3MTEAM3-------------GPA-001000--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,22,POINTS,W,2
10557,2024-08-01T13:52:47+02:00,BK3MTEAM3-------------GPA-001100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,21,POINTS,W,1
10558,2024-08-01T13:52:47+02:00,BK3MTEAM3-------------GPA-001100--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,12,POINTS,L,2
6289,2024-08-01T14:32:47+02:00,BK3MTEAM3-------------GPA-001200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,20,POINTS,W,1
6290,2024-08-01T14:32:47+02:00,BK3MTEAM3-------------GPA-001200--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,13,POINTS,L,2
984,2024-08-01T20:01:00+02:00,BK3MTEAM3-------------GPA-001400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,17,POINTS,L,1
985,2024-08-01T20:01:00+02:00,BK3MTEAM3-------------GPA-001400--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,22,POINTS,W,2
6309,2024-08-01T21:21:20+02:00,BK3MTEAM3-------------GPA-001300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,18,POINTS,L,1
6310,2024-08-01T21:21:20+02:00,BK3MTEAM3-------------GPA-001300--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,20,POINTS,W,2
963,2024-08-01T23:31:22+02:00,BK3MTEAM3-------------GPA-001500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---SRB01,Serbia,Team,SRB,Serbia,19,POINTS,W,1
964,2024-08-01T23:31:22+02:00,BK3MTEAM3-------------GPA-001500--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,16,POINTS,L,2
8757,2024-08-02T00:00:26+02:00,BK3MTEAM3-------------GPA-001600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---USA01,United States of America,Team,USA,United States,19,POINTS,L,1
8758,2024-08-02T00:00:26+02:00,BK3MTEAM3-------------GPA-001600--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LAT01,Latvia,Team,LAT,Latvia,21,POINTS,W,2
8764,2024-08-02T10:30:14+02:00,BK3MTEAM3-------------GPA-001700--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,21,POINTS,W,1
8765,2024-08-02T10:30:14+02:00,BK3MTEAM3-------------GPA-001700--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---CHN01,People's Republic of China,Team,CHN,China,16,POINTS,L,2
5165,2024-08-02T11:02:07+02:00,BK3MTEAM3-------------GPA-001800--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---POL01,Poland,Team,POL,Poland,17,POINTS,L,1
5166,2024-08-02T11:02:07+02:00,BK3MTEAM3-------------GPA-001800--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,21,POINTS,W,2
5173,2024-08-02T14:03:15+02:00,BK3MTEAM3-------------GPA-001900--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---NED01,Netherlands,Team,NED,Netherlands,19,POINTS,W,1
5174,2024-08-02T14:03:15+02:00,BK3MTEAM3-------------GPA-001900--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---LTU01,Lithuania,Team,LTU,Lithuania,18,POINTS,L,2
513,2024-08-02T14:33:51+02:00,BK3MTEAM3-------------GPA-002000--,BK3MTEAM3,Men,Men's Pool Round,Pool Round,FINISHED,M,3x3 Basketball,BK3,La Concorde 1,BK3MTEAM3---FRA01,France,Team,FRA,France,20,POINTS,L,1
