,date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT
5162,2024-07-27T23:40:57+02:00,TTEMSINGLES-----------R64-000400--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1941502,ARUNA Quadri,Person,NGR,Nigeria,3,POINTS,L
11166,2024-07-27T23:45:51+02:00,TTEMSINGLES-----------R64-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1976250,MINO Alberto,Person,ECU,Ecuador,4,POINTS,W
11167,2024-07-27T23:45:51+02:00,TTEMSINGLES-----------R64-000600--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1946674,LUU Finn,Person,AUS,Australia,3,POINTS,L
5157,2024-07-28T10:50:44+02:00,TTEMSINGLES-----------R64-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902703,ASSAR Omar,Person,EGY,Egypt,4,POINTS,W
5158,2024-07-28T10:50:44+02:00,TTEMSINGLES-----------R64-000500--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1928808,RAKOTOARIMANANA Fabio,Person,MAD,Madagascar,1,POINTS,L
8314,2024-07-28T10:56:01+02:00,TTEMSINGLES-----------R64-002900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1936413,CHO Daeseong,Person,KOR,Korea,2,POINTS,L
8315,2024-07-28T10:56:01+02:00,TTEMSINGLES-----------R64-002900--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1930828,JHA Kanak,Person,USA,United States,4,POINTS,W
9603,2024-07-28T11:35:48+02:00,TTEMSINGLES-----------R64-000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1902301,WANG Chuqin,Person,CHN,China,4,POINTS,W
9604,2024-07-28T11:35:48+02:00,TTEMSINGLES-----------R64-000100--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1568866,WANG Yang,Person,SVK,Slovakia,1,POINTS,L
129,2024-07-28T11:41:40+02:00,TTEMSINGLES-----------R64-000300--,TTEMSINGLES,Men's Singles,Men's Singles Round of 64,Round of 64,FINISHED,M,Table Tennis,TTE,South Paris Arena 4,1803711,KAO Cheng-Jui,Person,TPE,Chinese Taipei,4,POINTS,W
